Título,Autor,Ano de publicação,Número de páginas
Moby Dick,Herman Melville,1851,635
O Grande Gatsby,F. Scott Fitzgerald,1925,180
A Arte da Guerra,Sun Tzu,5 a.C.,272
O Sol é para Todos,Harper Lee,1960,281
O Nome do Vento,Patrick Rothfuss,2007,662
A Menina que Roubava Livros,Markus Zusak,2005,552
O Hobbit,J.R.R. Tolkien,1937,310
O Código Da Vinci,Dan Brown,2003,454
A Coisa,Stephen King,1986,1138
A Esperança,Suzanne Collins,2010,391
